,id,full_name,YOS
0,1630173,Precious Achiuwa,3
1,203500,Steven Adams,10
2,1628389,Bam Adebayo,6
3,1630534,Ochai Agbaji,1
4,1630583,Santi Aldama,2
5,1629638,Nickeil Alexander-Walker,4
6,1628960,Grayson Allen,5
7,1628386,Jarrett Allen,6
8,1630631,Jose Alvarado,2
9,203937,Kyle Anderson,9
10,203507,Giannis Antetokounmpo,10
11,203648,Thanasis Antetokounmpo,5
12,1630175,Cole Anthony,3
13,1628384,O.G. Anunoby,6
14,1627853,Ryan Arcidiacono,6
15,1641914,Chase Audige,0
16,1630166,Deni Avdija,3
17,1629028,Deandre Ayton,5
18,1628962,Udoka Azubuike,3
19,1630641,Ibou Badji,0
20,1628963,Marvin Bagley III,5
21,1641735,Amari Bailey,0
22,1631116,Patrick Baldwin,1
23,1630163,LaMelo Ball,3
24,1628366,Lonzo Ball,5
25,1628964,Mo Bamba,5
26,1631094,Paolo Banchero,1
27,1630217,Desmond Bane,3
28,1630625,Dalano Banton,2
29,1631230,Dominick Barlow,1
30,203084,Harrison Barnes,11
31,1630567,Scottie Barnes,2
32,1629628,RJ Barrett,4
33,1629646,Charles Bassey,2
34,1641734,Emoni Bates,0
35,1628966,Keita Bates-Diop,5
36,201587,Nicolas Batum,15
37,1641878,Damion Baugh,0
38,1629647,Darius Bazley,4
39,203078,Bradley Beal,11
40,1627736,Malik Beasley,7
41,1630699,MarJon Beauchamp,1
42,1641777,Charles Bediako,0
43,1631262,Jules Bernard,0
44,202722,Davis Bertans,7
45,201976,Patrick Beverley,11
46,1630180,Saddiq Bey,3
47,203920,Khem Birch,7
48,1629048,Goga Bitadze,4
49,1641931,Onuralp Bitim,0
50,1641710,Anthony Black,0
51,1641778,Leaky Black,0
52,1631205,Buddy Boeheim,1
53,203992,Bogdan Bogdanovic,6
54,202711,Bojan Bogdanovic,9
55,1629626,Bol Bol,4
56,1629716,Marques Bolden,2
57,1626164,Devin Booker,8
58,1630527,Brandon Boston Jr.,2
59,1628449,Chris Boucher,6
60,1630547,James Bouknight,2
61,1641859,Souley Boum,0
62,1631103,Malaki Branham,1
63,1631128,Christian Braun,1
64,1628969,Mikal Bridges,5
65,1628970,Miles Bridges,4
66,1629052,Oshae Brissett,4
67,1627763,Malcolm Brogdon,7
68,1629717,Armoni Brooks,2
69,1628415,Dillon Brooks,6
70,1628971,Bruce Brown,5
71,1627759,Jaylen Brown,7
72,1631112,Kendall Brown,1
73,1641738,Kobe Brown,0
74,1629650,Moses Brown,4
75,1630535,Greg Brown III,2
76,1629718,Charlie Brown Jr.,3
77,1628972,Troy Brown Jr.,5
78,1628973,Jalen Brunson,5
79,1628418,Thomas Bryant,6
80,1641723,Kobe Bufkin,0
81,202692,Alec Burks,12
82,1629126,Deonte Burton,4
83,1630215,Jared Butler,2
84,202710,Jimmy Butler,12
85,1631219,John Butler Jr.,2
86,1631288,Jamal Cain,1
87,203484,Kentavious Caldwell-Pope,10
88,1641739,Toumani Camara,0
89,1628427,Vlatko Cancar,4
90,203991,Clint Capela,9
91,1628975,Jevon Carter,5
92,1628976,Wendell Carter Jr.,5
93,1627936,Alex Caruso,6
94,1630658,Colin Castleton,0
95,1630608,Malcolm Cazalon,0
96,1630577,Julian Champagnie,1
97,1630551,Justin Champagnie,2
98,1631108,Max Christie,1
99,1631321,Sidy Cissoko,0
100,1641740,Jaylen Clark,0
101,1629634,Brandon Clarke,4
102,203903,Jordan Clarkson,9
103,1629651,Nic Claxton,4
104,1641730,Noah Clowney,0
105,1629599,Amir Coffey,4
106,1628381,John Collins,6
107,1628380,Zach Collins,5
108,1628435,Chance Comanche,2
109,201144,Mike Conley,16
110,1626192,Pat Connaughton,8
111,1641645,Xavier Cooks,2
112,1630536,Sharife Cooper,2
113,1641731,Bilal Coulibaly,0
114,1641741,Ricky Council IV,0
115,203496,Robert Covington,10
116,1628470,Torrey Craig,6
117,203109,Jae Crowder,11
118,1630595,Cade Cunningham,2
119,203552,Seth Curry,9
120,201939,Stephen Curry,14
121,1630700,Dyson Daniels,1
122,203076,Anthony Davis,11
123,1641784,Antoine Davis,0
124,1631098,Johnny Davis,1
125,1630660,Kendric Davis,0
126,1631120,JD Davison,1
127,1630620,Darius Days,2
128,201942,DeMar DeRozan,14
129,1641926,Dexter Dennis,0
130,1628978,Donte DiVincenzo,5
131,1631217,Moussa Diabate,1
132,1627767,Cheick Diallo,6
133,1641711,Gradey Dick,0
134,1631172,Ousmane Dieng,1
135,203915,Spencer Dinwiddie,9
136,1629029,Luka Doncic,5
137,1629652,Luguentz Dort,4
138,1630245,Ayo Dosunmu,2
139,1630288,Jeff Dowtin Jr.,2
140,1630929,Henri Drell,0
