,Player,c,eo,ed,np,yos,min_eligible
0,Joel Embiid,0.38705162601626014,1.188,1.092,71.44117647058823,7.0,0
1,Shai Gilgeous-Alexander,0.34846480325203255,1.205,1.093,73.46666666666667,5.0,0
2,Giannis Antetokounmpo,0.371057593495935,1.194,1.125,74.7457627118644,10.0,0
3,Luka Dončić,0.3257253658536585,1.186,1.147,79.31481481481481,5.0,0
4,Nikola Jokić,0.38705162601626014,1.204,1.105,70.06666666666666,8.0,0
5,Donovan Mitchell,0.308396693379791,1.158,1.058,74.61702127659575,6.0,0
6,Tyrese Haliburton,0.2932514854819977,1.198,1.158,69.44,3.0,0
7,Kawhi Leonard,0.371057593495935,1.175,1.09,70.76363636363637,11.0,0
8,LeBron James,0.38705162601626014,1.149,1.126,74.0,20.0,0
9,Jayson Tatum,0.28258140418118466,1.204,1.087,74.10344827586206,6.0,0
10,Paul George,0.371057593495935,1.199,1.103,69.27272727272727,13.0,0
11,Derrick White,0.28037756910569106,1.216,1.077,67.40350877192982,6.0,0
12,Kevin Durant,0.38739376422764227,1.17,1.12,78.47272727272727,15.0,0
13,Devin Booker,0.29281463414634146,1.1840000000000002,1.127,74.92,8.0,0
14,Anthony Edwards,0.2669408524970964,1.1520000000000001,1.0590000000000002,71.49152542372882,3.0,0
15,Jalen Brunson,0.2986283565621371,1.172,1.126,72.03508771929825,5.0,0
16,Kristaps Porziņģis,0.29576485714285716,1.204,1.08,62.666666666666664,7.0,0
17,Stephen Curry,0.42207817073170734,1.162,1.157,70.56140350877193,14.0,0
18,Damian Lillard,0.371057593495935,1.1840000000000002,1.1059999999999999,75.01754385964912,11.0,0
19,Jimmy Butler,0.36734926829268294,1.155,1.1079999999999999,69.11904761904762,12.0,0
20,Victor Wembanyama,0.3063187909407666,1.074,1.121,62.30357142857143,0.0,0
21,James Harden,0.2897560975609756,1.196,1.126,70.25454545454545,14.0,0
22,Anthony Davis,0.33008195121951217,1.1420000000000001,1.137,75.94915254237289,11.0,0
23,De'Aaron Fox,0.2650411382113821,1.162,1.148,76.42307692307692,6.0,0
24,Kyrie Irving,0.3011141219512195,1.1840000000000002,1.1440000000000001,72.525,12.0,0
25,Chet Holmgren,0.21258234146341465,1.187,1.103,64.32786885245902,0.0,0
26,Fred VanVleet,0.33175853658536586,1.1179999999999999,1.089,76.31481481481481,7.0,0
27,Tyrese Maxey,0.15356210917537746,1.168,1.136,77.50909090909092,3.0,0
28,Lauri Markkanen,0.1403251951219512,1.176,1.17,70.31372549019608,6.0,0
29,Franz Wagner,0.14327531707317073,1.1059999999999999,1.07,68.03703703703704,2.0,0
30,Jusuf Nurkić,0.13719512195121952,1.1909999999999998,1.104,57.05172413793103,9.0,0
31,Isaiah Hartenstein,0.10059650522648081,1.167,1.104,51.839285714285715,5.0,0
32,Khris Middleton,0.2383820162601626,1.195,1.127,56.395348837209305,11.0,0
33,Jalen Williams,0.11557603600464576,1.18,1.0959999999999999,68.34545454545454,1.0,0
34,Desmond Bane,0.11762929616724739,1.061,1.127,72.35135135135135,3.0,0
35,Jaylen Brown,0.25878339024390246,1.195,1.0959999999999999,69.67857142857143,7.0,0
36,Kevin Love,0.1210375725900116,1.1520000000000001,1.093,36.1063829787234,15.0,0
38,LaMelo Ball,0.16191647735191636,1.113,1.195,69.18181818181819,3.0,0
39,Domantas Sabonis,0.24878048780487805,1.1520000000000001,1.158,74.7,7.0,0
40,Trae Young,0.3257253658536585,1.16,1.183,79.72549019607843,5.0,0
41,Alperen Şengün,0.1826667224157956,1.12,1.1179999999999999,67.11666666666666,2.0,0
42,Collin Sexton,0.2093017572590012,1.163,1.182,53.725806451612904,5.0,0
43,Karl-Anthony Towns,0.29281463414634146,1.151,1.075,67.41666666666667,8.0,0
44,Marcus Smart,0.21414401045296166,1.068,1.0659999999999998,64.45,9.0,0
45,Brandon Ingram,0.2750682926829268,1.16,1.112,68.53571428571429,7.0,0
46,Jamal Murray,0.2750682926829268,1.19,1.12,64.41304347826087,6.0,0
47,Rudy Gobert,0.3333333333333333,1.1420000000000001,1.048,68.35,10.0,0
48,Herbert Jones,0.17077034843205574,1.162,1.089,60.824561403508774,2.0,0
49,Scottie Barnes,0.15739988269454122,1.119,1.146,73.55,2.0,0
50,Alex Caruso,0.14396525087108017,1.1059999999999999,1.084,56.46153846153846,6.0,0
51,Evan Mobley,0.09874641811846689,1.0979999999999999,1.07,65.42105263157895,2.0,0
52,Draymond Green,0.1814750325203252,1.146,1.117,57.166666666666664,11.0,0
53,Aaron Gordon,0.18102586991869918,1.1840000000000002,1.107,64.85714285714286,9.0,0
54,Goga Bitadze,0.1488080325203252,1.0979999999999999,1.085,35.5,4.0,0
55,Julius Randle,0.22948682926829267,1.168,1.1320000000000001,73.1304347826087,9.0,0
56,Jarrett Allen,0.1878337944250871,1.155,1.084,64.69642857142857,6.0,0
57,Mike Conley,0.20598388269454124,1.126,1.062,58.63157894736842,16.0,0
58,Ja Morant,0.2764654471544715,1.099,1.097,75.0,4.0,0
59,Chris Paul,0.25040650406504067,1.139,1.0959999999999999,56.72222222222222,18.0,0
60,Pascal Siakam,0.30807648780487806,1.153,1.151,71.22950819672131,7.0,0
61,Michael Porter Jr.,0.2714378048780488,1.183,1.1179999999999999,65.27868852459017,4.0,0
62,Bam Adebayo,0.2650411382113821,1.0979999999999999,1.094,70.76470588235294,6.0,0
